somer. ff .. 119 ... Gai.11.§§253...255.
'ff
5

⁴ pfkeronffluuleSkcmesetermeumqumecepu .
² Rbntxtemquxsubenebnermbepzebembmecoem
= Requemebnctoplzopouunr'seblwlzsusqumbo
ι μεδεεεοῃιρτιευωλυποτλα)Ινειὶεδιτλτεωλυῐνε
⁵ netoumplenumquenesmuenenoqxssxmun
⁶ &blnebtxremossnullumxurmmnmumlucnum
τ μεευελῦλκῐλτῆῡῧιδεκτικᾳυεῧλΝῐυῃῇῐ-ῇ.ροω
³ soetpusnouesenuuscensutrutetqumoquus
⁰ esrBbtutemnesnruenepnnbelncelzerquun
ιο umpmremnermenexrqueeleqepxlcubmuleon
u nsuermeub1scouceb1ru1zexsm0ulusquoque
υ nebusff,uffaelmcumunexbemnerennomr
¹³ sxe'pQ‘s&pseonembelzebmmxsu(rmenlleu
ιε qu1ex'ch'·12eltquxmembeneblrxnslzectpalem
⁴⁵ τλιὶιρλῃτιλμιΙοεοέιδὲειυεΙεᾳλῐλῃιευιρλιὶευο
⁴⁶ Nonumlequunquxespecleslemnpxnunouocx
w wnqu1xcumbenebeleqmmuspmnwubene
ιε murem
³⁹ Uubeeppectum'e‘urqukeSolemsnpu[menn.
2⁰ teabeuebemerpmuuuumleommumyspou1
' υ exbemyspomm’mreneumqutexjfbssckumue·
υ plbenet>ltkremerbenebemtbffur}lucnumetoz
2³ mnumbemmuumpnomtxpxmemxeoscom
24 ,muuesuenqosmumemuonp!usqumbobmm-

Pagina exterior facillime legitur. 2 in fine nihil amplius scriptum erat.

 

