folAsu. , - 179 - Gai.111.§§194...198.

⁴ Omucnbxsmn[lursmelexpxceneporesrurpme
4 xhqunspoeuuenemrquzsnpumumuelmu1102«
4 umfibomnclbnumxbmnsserffiffleombml(emr-
4 Ιῖυῐιτυωῆ·ῃιῐκοκεοῑυωε-ᾳυιειΝτεῃοιριεΝδιδίΓ
4 μεωλΙιεΝλωλδωουετεῐςεκεῃλΙιτεῃςήυιῃεωιιι
4 εΝλωιΝυιῐοδοωιΝοῑτῃεοτλτιτλῆέιᾳυ4314444444
4 mpureumbeposuusttumunpumumcomm11
4 ῐιῐεῐειᾳυιευτεΝδλωμεωλεςερειυτελωῆ-ιΝλΙῑιῖ·
4 υευωηῑλκεῐυίειτιτρυῃτιοῦΙιᾳλτυῃῡυτιειᾳυ4344
44 ·οεΝῐυωυῐεΝδυωλοεερεμιτᾳυλειλωιςοελδεεκ
44 mmmumunusnoqxuemtenbpeneonesec·ru10
44 ῃιῑῑειᾳυιελεειᾳεετλκδιᾳῃλῑιλοοωωοδλτυωὶοκ
44 Quuscumxhquobuxemrquerestscmpsenumbe
44 εοᾳυιιΝλειεωρδυκιεεετρίλευιτΐῶ·εοεᾳυιῦυτ
44 οοωωοδλτιελὶιῑεμυτεῐιεΝτυῃᾳυπεκδλελεεε
44 ριεεεΝῐιῐλμυῃῐυωοοωωιτῐειὶεευΝτεΙεςλΝτιο
44 εειΝυιτοδοωιΝομοειὶεευωᾳειιΝτεΙΙεκιεεεκτ
44 npmmsunumutsupmussunumcnebemexm
44 ρυῃῐισιυωεκυιδεῃιορτιωλελκεδιετιΝεῐιοέω
44 μυ[ιῐυωεικεδῐῆ-ῆοοωωιπιῐυῃεέτειοιὶεδλῐιιι
44 ᾳυιειΝυιτοδοωιΝοεεῃεωῐμεετλιὶεδοωικοῑῗ
44 υοΙεΝτειδριλτδιειτυμιῑυῃτυωῆιῑιεῃιυΝδειΗυτ
44 ᾶειῐυωεψῦλτυωέθτιῐιυεεῑωευωεοῑῑιςιτλῃεῐ
44 υῐρυλεδλαηὶωι1443445144ρειὶετετλδευωριῑειὶετ

Pagina interior facillime legitur. Ξ littera 48· τ, non τ’ fui& 6 littera ⁴5⁸ Ν ex
τ correcta ent.

 

